
== attempt 1784488607.786140 ==
$ /venv/main/bin/python scripts/train.py --config configs/publishable.yaml --run-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run --data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/data --validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/posterior_validation --detection-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_train --detection-validation-data-dir /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/detector_bls_validation --expect-device cuda --no-preflight --seed 0 --noise-lib /workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/noise_splits/noise_validation.npz
device=cuda  params=4,176,422  head=fmpe  run_dir=/workspace/TransitFlow/results/publishable_runs/mnras_seed0_20260719/run
step  17200/60000 | total 1.0834 | post 0.8577 | det 0.2257 | 2170 lc/s | wait 5% | eta 1h24m09s
step  17300/60000 | total 1.0694 | post 0.8600 | det 0.2094 | 2196 lc/s | wait 5% | eta 1h22m56s
step  17400/60000 | total 1.3071 | post 1.1290 | det 0.1781 | 2200 lc/s | wait 5% | eta 1h22m36s
step  17500/60000 | total 1.3139 | post 1.1117 | det 0.2021 | 2202 lc/s | wait 5% | eta 1h22m21s
step  17600/60000 | total 1.0972 | post 0.9287 | det 0.1685 | 2189 lc/s | wait 5% | eta 1h22m39s
step  17700/60000 | total 0.8975 | post 0.7024 | det 0.1951 | 2190 lc/s | wait 5% | eta 1h22m23s
step  17800/60000 | total 0.9128 | post 0.7377 | det 0.1751 | 2197 lc/s | wait 5% | eta 1h21m58s
step  17900/60000 | total 1.1443 | post 0.9614 | det 0.1829 | 2196 lc/s | wait 5% | eta 1h21m48s
  [val] post 0.9039 det 0.6459 acc 0.823 auc 0.936
step  18000/60000 | total 1.1043 | post 0.9118 | det 0.1925 | 2007 lc/s | wait 5% | eta 1h29m17s
step  18100/60000 | total 1.1004 | post 0.9059 | det 0.1944 | 2139 lc/s | wait 5% | eta 1h23m35s
step  18200/60000 | total 1.0276 | post 0.8391 | det 0.1884 | 2188 lc/s | wait 5% | eta 1h21m30s
step  18300/60000 | total 0.9320 | post 0.7815 | det 0.1505 | 2185 lc/s | wait 5% | eta 1h21m25s
step  18400/60000 | total 1.2414 | post 1.0542 | det 0.1872 | 2185 lc/s | wait 5% | eta 1h21m12s
step  18500/60000 | total 1.1619 | post 0.9560 | det 0.2059 | 2180 lc/s | wait 5% | eta 1h21m14s
step  18600/60000 | total 1.0533 | post 0.8364 | det 0.2169 | 2153 lc/s | wait 5% | eta 1h22m03s
step  18700/60000 | total 1.1742 | post 1.0313 | det 0.1429 | 2044 lc/s | wait 5% | eta 1h26m12s
step  18800/60000 | total 1.0690 | post 0.8734 | det 0.1956 | 2178 lc/s | wait 5% | eta 1h20m41s
step  18900/60000 | total 0.9718 | post 0.7852 | det 0.1867 | 2187 lc/s | wait 5% | eta 1h20m11s
step  19000/60000 | total 1.0094 | post 0.7988 | det 0.2105 | 2188 lc/s | wait 5% | eta 1h19m56s
step  19100/60000 | total 0.8969 | post 0.6858 | det 0.2111 | 2127 lc/s | wait 5% | eta 1h22m02s
step  19200/60000 | total 1.0493 | post 0.8616 | det 0.1877 | 2185 lc/s | wait 5% | eta 1h19m40s
step  19300/60000 | total 1.1656 | post 0.9931 | det 0.1724 | 2159 lc/s | wait 5% | eta 1h20m25s
